species,subject,time,hemisphere,gm_or_wm,sulcus,index_number,x,y,z
macaque,10,22months,lh,pi,arc,1,15.069839477539062,-40.02836990356445,44.058719635009766
macaque,10,22months,lh,pi,arc,2,19.8686580657959,-34.001686096191406,41.230682373046875
macaque,10,22months,lh,pi,arc,3,27.149316787719727,-28.114877700805664,40.32444763183594
macaque,10,22months,lh,pi,arc,4,33.9415397644043,-27.29292106628418,35.15556716918945
macaque,10,22months,lh,pi,arc,5,38.20237731933594,-31.362844467163086,27.691164016723633
macaque,10,22months,lh,pi,arc,6,38.295223236083984,-38.014434814453125,20.699626922607422
macaque,10,22months,lh,pi,arc,7,39.36713790893555,-40.423282623291016,12.337031364440918
macaque,10,22months,lh,pi,arc,8,41.42256164550781,-39.70013427734375,5.055211067199707
macaque,10,22months,lh,pi,cb,1,7.3723578453063965,64.16251373291016,-3.9257917404174805
macaque,10,22months,lh,pi,cb,2,18.41513442993164,63.69465255737305,-6.830892086029053
macaque,10,22months,lh,pi,cb,3,33.09768295288086,58.1072998046875,-10.567793846130371
macaque,10,22months,lh,pi,cb,4,43.166748046875,48.05491638183594,-9.00201416015625
macaque,10,22months,lh,pi,cb,5,43.42667770385742,38.744117736816406,-10.2247953414917
macaque,10,22months,lh,pi,cb,6,32.080230712890625,27.77375602722168,-15.245203018188477
macaque,10,22months,lh,pi,cb,7,21.756277084350586,21.77747917175293,-21.326995849609375
macaque,10,22months,lh,pi,cb,8,16.554189682006836,26.87377166748047,-21.8536376953125
macaque,10,22months,lh,pi,ce,1,5.550098896026611,6.727015972137451,59.53596496582031
macaque,10,22months,lh,pi,ce,2,12.137581825256348,5.870029449462891,57.625587463378906
macaque,10,22months,lh,pi,ce,3,17.269676208496094,3.7914555072784424,54.93735885620117
macaque,10,22months,lh,pi,ce,4,25.371803283691406,-0.785921573638916,52.29783630371094
macaque,10,22months,lh,pi,ce,5,31.709794998168945,-7.878660678863525,46.00407028198242
macaque,10,22months,lh,pi,ce,6,36.66583251953125,-13.738204956054688,40.681461334228516
macaque,10,22months,lh,pi,ce,7,41.15386962890625,-14.695342063903809,35.877464294433594
macaque,10,22months,lh,pi,ce,8,45.28281021118164,-13.916200637817383,30.737258911132812
macaque,10,22months,lh,pi,ce,9,47.3315544128418,-12.660417556762695,27.907869338989258
macaque,10,22months,lh,pi,di,1,15.014471054077148,-24.577451705932617,49.10078430175781
macaque,10,22months,lh,pi,di,2,18.248645782470703,-18.32121467590332,49.54454040527344
macaque,10,22months,lh,pi,di,3,19.490896224975586,-13.739402770996094,50.463565826416016
macaque,10,22months,lh,pi,io,1,54.89051055908203,18.493457794189453,19.950286865234375
macaque,10,22months,lh,pi,io,2,54.87433624267578,18.706205368041992,13.982508659362793
macaque,10,22months,lh,pi,io,3,55.65746307373047,22.725467681884766,6.714570045471191
macaque,10,22months,lh,pi,io,4,54.07044982910156,29.360326766967773,1.9760116338729858
macaque,10,22months,lh,pi,io,5,52.594303131103516,36.62637710571289,-1.5637485980987549
macaque,10,22months,lh,pi,io,6,49.53167724609375,43.02564239501953,-4.216428756713867
macaque,10,22months,lh,pi,io,7,45.760765075683594,48.2271728515625,-5.537144660949707
macaque,10,22months,lh,pi,ip,1,42.3736457824707,-5.627139568328857,38.549312591552734
macaque,10,22months,lh,pi,ip,2,39.23267364501953,1.6568199396133423,41.89796447753906
macaque,10,22months,lh,pi,ip,3,35.01622772216797,6.918362140655518,45.213836669921875
macaque,10,22months,lh,pi,ip,4,31.235013961791992,13.816038131713867,48.9119873046875
macaque,10,22months,lh,pi,ip,5,23.772445678710938,28.096437454223633,51.104209899902344
macaque,10,22months,lh,pi,ip,6,19.241971969604492,35.726165771484375,52.087467193603516
macaque,10,22months,lh,pi,ip,7,16.407520294189453,42.509254455566406,50.708580017089844
macaque,10,22months,lh,pi,ip,8,16.98554039001465,48.870018005371094,46.72709274291992
macaque,10,22months,lh,pi,la,1,7.223862648010254,-15.292828559875488,-4.1243510246276855
macaque,10,22months,lh,pi,la,2,15.862671852111816,-22.47012710571289,-5.197248458862305
macaque,10,22months,lh,pi,la,3,22.202709197998047,-27.844186782836914,-4.804067134857178
macaque,10,22months,lh,pi,la,4,30.129901885986328,-33.93583297729492,-4.8715739250183105
macaque,10,22months,lh,pi,la,5,39.801605224609375,-34.651126861572266,-3.662590742111206
macaque,10,22months,lh,pi,la,6,46.58867645263672,-26.781904220581055,4.737253665924072
macaque,10,22months,lh,pi,la,7,49.620906829833984,-20.62491226196289,8.572101593017578
macaque,10,22months,lh,pi,la,8,52.14619445800781,-8.801697731018066,16.737878799438477
macaque,10,22months,lh,pi,la,9,51.52797317504883,-1.3354021310806274,21.56591796875
macaque,10,22months,lh,pi,la,10,48.23881530761719,5.1668782234191895,29.745113372802734
macaque,10,22months,lh,pi,la,11,45.866397857666016,12.138984680175781,34.76774597167969
macaque,10,22months,lh,pi,la,12,41.798866271972656,21.554887771606445,37.17167663574219
macaque,10,22months,lh,pi,lu,1,56.354461669921875,27.504514694213867,14.38529109954834
macaque,10,22months,lh,pi,lu,2,53.21046829223633,27.837162017822266,21.34004783630371
macaque,10,22months,lh,pi,lu,3,47.18798065185547,33.02167892456055,30.325857162475586
macaque,10,22months,lh,pi,lu,4,42.1409797668457,38.26436996459961,35.18902587890625
